compassionate_ganguly: CPU: 100.27%, Memory: 4.565GiB / 251.5GiB
compassionate_ganguly: CPU: 849.33%, Memory: 9.398GiB / 251.5GiB
compassionate_ganguly: CPU: 386.31%, Memory: 17.98GiB / 251.5GiB
compassionate_ganguly: CPU: 802.63%, Memory: 24.07GiB / 251.5GiB
compassionate_ganguly: CPU: 799.39%, Memory: 24.07GiB / 251.5GiB
compassionate_ganguly: CPU: 797.48%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 799.47%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 799.94%, Memory: 24.07GiB / 251.5GiB
compassionate_ganguly: CPU: 798.47%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 797.47%, Memory: 24.07GiB / 251.5GiB
compassionate_ganguly: CPU: 797.48%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 795.49%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 796.46%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 800.66%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 797.44%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 802.64%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 800.65%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 800.09%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 800.15%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 800.63%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 798.40%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 797.61%, Memory: 24.08GiB / 251.5GiB
compassionate_ganguly: CPU: 801.66%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 803.10%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 800.66%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 797.94%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 800.64%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 803.24%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 801.16%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 804.16%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 797.96%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 799.42%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 801.16%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 799.44%, Memory: 24.09GiB / 251.5GiB
compassionate_ganguly: CPU: 672.46%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 797.95%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 798.96%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 802.94%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 797.81%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 802.14%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 799.96%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 799.54%, Memory: 24.12GiB / 251.5GiB
compassionate_ganguly: CPU: 797.87%, Memory: 24.12GiB / 251.5GiB
