wonderful_kirch: CPU: 236.69%, Memory: 16.8MiB / 251.5GiB
hardcore_engelbart: CPU: 175.24%, Memory: 16.35MiB / 251.5GiB
hardcore_engelbart: CPU: 154.90%, Memory: 16.52MiB / 251.5GiB
zen_rhodes: CPU: 155.23%, Memory: 16.14MiB / 251.5GiB
zen_rhodes: CPU: 156.26%, Memory: 16.5MiB / 251.5GiB
blissful_tesla: CPU: 144.40%, Memory: 16.74MiB / 251.5GiB
pedantic_black: CPU: 158.32%, Memory: 16.54MiB / 251.5GiB
vigilant_heisenberg: CPU: 150.40%, Memory: 16.63MiB / 251.5GiB
musing_archimedes: CPU: 143.89%, Memory: 15.95MiB / 251.5GiB
bold_fermi: CPU: 146.50%, Memory: 17.06MiB / 251.5GiB
stoic_bohr: CPU: 167.89%, Memory: 16.93MiB / 251.5GiB
great_northcutt: CPU: 154.02%, Memory: 16.27MiB / 251.5GiB
