competent_newton: CPU: 113.57%, Memory: 669.8MiB / 251.5GiB
competent_newton: CPU: 169.61%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 232.06%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 189.58%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 175.88%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 187.99%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 168.69%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 222.38%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 227.96%, Memory: 1.328GiB / 251.5GiB
competent_newton: CPU: 223.16%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 213.66%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 151.84%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 172.64%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 184.88%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 179.03%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 175.04%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 163.36%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 179.20%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 172.71%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 177.40%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 174.41%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 177.94%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 171.84%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 235.06%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 184.19%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 156.82%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 169.45%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 172.08%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 197.25%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 179.50%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 171.31%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 173.77%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 175.95%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 190.30%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 182.68%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 181.35%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 164.34%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 186.84%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 166.00%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 176.21%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 202.17%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 226.94%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 193.81%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 222.67%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 177.01%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 169.79%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 153.45%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 180.65%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 157.79%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 186.05%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 176.69%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 177.54%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 161.84%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 162.16%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 164.38%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 184.76%, Memory: 1.333GiB / 251.5GiB
competent_newton: CPU: 164.80%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 177.33%, Memory: 1.332GiB / 251.5GiB
competent_newton: CPU: 172.20%, Memory: 1.333GiB / 251.5GiB
