boring_cohen: CPU: 233.35%, Memory: 67.25MiB / 251.5GiB
boring_cohen: CPU: 100.65%, Memory: 1.561GiB / 251.5GiB
boring_cohen: CPU: 1118.53%, Memory: 2.353GiB / 251.5GiB
boring_cohen: CPU: 1554.23%, Memory: 2.357GiB / 251.5GiB
boring_cohen: CPU: 1443.81%, Memory: 3.138GiB / 251.5GiB
boring_cohen: CPU: 100.15%, Memory: 1.653GiB / 251.5GiB
boring_cohen: CPU: 1583.57%, Memory: 2.4GiB / 251.5GiB
clever_moore: CPU: 171.55%, Memory: 69.57MiB / 251.5GiB
clever_moore: CPU: 101.28%, Memory: 918.7MiB / 251.5GiB
clever_moore: CPU: 1534.83%, Memory: 1.601GiB / 251.5GiB
clever_moore: CPU: 1557.66%, Memory: 2.356GiB / 251.5GiB
clever_moore: CPU: 1554.70%, Memory: 2.358GiB / 251.5GiB
clever_moore: CPU: 1428.82%, Memory: 3.139GiB / 251.5GiB
clever_moore: CPU: 101.14%, Memory: 1.651GiB / 251.5GiB
clever_moore: CPU: 1565.29%, Memory: 2.401GiB / 251.5GiB
tender_greider: CPU: 295.00%, Memory: 67.41MiB / 251.5GiB
tender_greider: CPU: 100.82%, Memory: 1.562GiB / 251.5GiB
tender_greider: CPU: 1106.87%, Memory: 2.354GiB / 251.5GiB
tender_greider: CPU: 1529.37%, Memory: 2.358GiB / 251.5GiB
tender_greider: CPU: 1561.19%, Memory: 2.407GiB / 251.5GiB
tender_greider: CPU: 523.10%, Memory: 1.65GiB / 251.5GiB
tender_greider: CPU: 1548.15%, Memory: 2.4GiB / 251.5GiB
elated_keldysh: CPU: 100.75%, Memory: 682.2MiB / 251.5GiB
elated_keldysh: CPU: 100.02%, Memory: 1.194GiB / 251.5GiB
elated_keldysh: CPU: 1265.51%, Memory: 2.354GiB / 251.5GiB
elated_keldysh: CPU: 1558.62%, Memory: 2.357GiB / 251.5GiB
elated_keldysh: CPU: 1493.55%, Memory: 2.358GiB / 251.5GiB
elated_keldysh: CPU: 1555.69%, Memory: 3.138GiB / 251.5GiB
elated_keldysh: CPU: 1499.56%, Memory: 2.401GiB / 251.5GiB
elated_keldysh: CPU: 1502.67%, Memory: 2.401GiB / 251.5GiB
cranky_leavitt: CPU: 197.73%, Memory: 91.95MiB / 251.5GiB
cranky_leavitt: CPU: 100.02%, Memory: 866MiB / 251.5GiB
cranky_leavitt: CPU: 1111.07%, Memory: 2.354GiB / 251.5GiB
cranky_leavitt: CPU: 1542.06%, Memory: 2.356GiB / 251.5GiB
cranky_leavitt: CPU: 1519.64%, Memory: 2.358GiB / 251.5GiB
cranky_leavitt: CPU: 1484.92%, Memory: 3.138GiB / 251.5GiB
cranky_leavitt: CPU: 258.83%, Memory: 2.402GiB / 251.5GiB
cranky_leavitt: CPU: 1542.26%, Memory: 2.4GiB / 251.5GiB
vigilant_feynman: CPU: 255.64%, Memory: 67.85MiB / 251.5GiB
vigilant_feynman: CPU: 100.71%, Memory: 1.562GiB / 251.5GiB
vigilant_feynman: CPU: 1116.26%, Memory: 2.355GiB / 251.5GiB
vigilant_feynman: CPU: 1581.86%, Memory: 2.358GiB / 251.5GiB
vigilant_feynman: CPU: 1472.22%, Memory: 3.139GiB / 251.5GiB
vigilant_feynman: CPU: 101.84%, Memory: 1.653GiB / 251.5GiB
vigilant_feynman: CPU: 1501.30%, Memory: 2.401GiB / 251.5GiB
vigilant_feynman: CPU: 665.41%, Memory: 1.284GiB / 251.5GiB
hardcore_jepsen: CPU: 99.77%, Memory: 410.7MiB / 251.5GiB
hardcore_jepsen: CPU: 100.30%, Memory: 1.049GiB / 251.5GiB
hardcore_jepsen: CPU: 1120.12%, Memory: 2.354GiB / 251.5GiB
hardcore_jepsen: CPU: 1591.43%, Memory: 2.358GiB / 251.5GiB
hardcore_jepsen: CPU: 1560.64%, Memory: 2.358GiB / 251.5GiB
hardcore_jepsen: CPU: 985.32%, Memory: 1.647GiB / 251.5GiB
hardcore_jepsen: CPU: 1498.94%, Memory: 2.401GiB / 251.5GiB
hardcore_jepsen: CPU: 1547.28%, Memory: 2.4GiB / 251.5GiB
fervent_carson: CPU: 294.49%, Memory: 67.46MiB / 251.5GiB
fervent_carson: CPU: 100.06%, Memory: 1.562GiB / 251.5GiB
fervent_carson: CPU: 1113.98%, Memory: 2.354GiB / 251.5GiB
fervent_carson: CPU: 1588.39%, Memory: 2.357GiB / 251.5GiB
fervent_carson: CPU: 1437.34%, Memory: 3.138GiB / 251.5GiB
fervent_carson: CPU: 100.43%, Memory: 1.65GiB / 251.5GiB
fervent_carson: CPU: 1548.35%, Memory: 2.4GiB / 251.5GiB
fervent_carson: CPU: 784.76%, Memory: 2.068GiB / 251.5GiB
cool_keldysh: CPU: 100.38%, Memory: 249.7MiB / 251.5GiB
cool_keldysh: CPU: 101.47%, Memory: 929MiB / 251.5GiB
cool_keldysh: CPU: 1079.85%, Memory: 2.354GiB / 251.5GiB
cool_keldysh: CPU: 1571.35%, Memory: 2.357GiB / 251.5GiB
cool_keldysh: CPU: 1544.28%, Memory: 2.358GiB / 251.5GiB
cool_keldysh: CPU: 864.59%, Memory: 1.648GiB / 251.5GiB
cool_keldysh: CPU: 1581.66%, Memory: 2.4GiB / 251.5GiB
adoring_panini7: CPU: 99.77%, Memory: 739.5MiB / 251.5GiB
adoring_panini7: CPU: 100.94%, Memory: 1.24GiB / 251.5GiB
adoring_panini7: CPU: 1360.35%, Memory: 2.354GiB / 251.5GiB
adoring_panini7: CPU: 1589.11%, Memory: 2.358GiB / 251.5GiB
adoring_panini7: CPU: 1468.51%, Memory: 3.139GiB / 251.5GiB
adoring_panini7: CPU: 99.68%, Memory: 1.653GiB / 251.5GiB
adoring_panini7: CPU: 1516.49%, Memory: 2.401GiB / 251.5GiB
adoring_panini7: CPU: 1126.15%, Memory: 3.147GiB / 251.5GiB
