cool_babbage: CPU: 207.53%, Memory: 68.18MiB / 251.5GiB
cool_babbage: CPU: 100.33%, Memory: 2.954GiB / 251.5GiB
cool_babbage: CPU: 100.08%, Memory: 4.252GiB / 251.5GiB
cool_babbage: CPU: 101.54%, Memory: 5.491GiB / 251.5GiB
cool_babbage: CPU: 99.81%, Memory: 6.928GiB / 251.5GiB
cool_babbage: CPU: 102.51%, Memory: 3.587GiB / 251.5GiB
cool_babbage: CPU: 100.96%, Memory: 4.97GiB / 251.5GiB
cool_babbage: CPU: 917.72%, Memory: 6.107GiB / 251.5GiB
cool_babbage: CPU: 1550.66%, Memory: 6.107GiB / 251.5GiB
cool_babbage: CPU: 1273.45%, Memory: 6.107GiB / 251.5GiB
cool_babbage: CPU: 1471.63%, Memory: 9.109GiB / 251.5GiB
cool_babbage: CPU: 1572.67%, Memory: 9.108GiB / 251.5GiB
cool_babbage: CPU: 1575.82%, Memory: 9.108GiB / 251.5GiB
cool_babbage: CPU: 1563.42%, Memory: 9.108GiB / 251.5GiB
cool_babbage: CPU: 1555.58%, Memory: 9.108GiB / 251.5GiB
cool_babbage: CPU: 1573.67%, Memory: 9.108GiB / 251.5GiB
cool_babbage: CPU: 1550.79%, Memory: 9.115GiB / 251.5GiB
cool_babbage: CPU: 1545.24%, Memory: 9.116GiB / 251.5GiB
cool_babbage: CPU: 1541.38%, Memory: 9.116GiB / 251.5GiB
cool_babbage: CPU: 1484.62%, Memory: 9.116GiB / 251.5GiB
cool_babbage: CPU: 1544.51%, Memory: 9.116GiB / 251.5GiB
cool_babbage: CPU: 1560.70%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1556.26%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1500.12%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1501.88%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1516.06%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1512.27%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1532.22%, Memory: 9.117GiB / 251.5GiB
cool_babbage: CPU: 1555.79%, Memory: 9.118GiB / 251.5GiB
cool_babbage: CPU: 1515.19%, Memory: 9.118GiB / 251.5GiB
cool_babbage: CPU: 1584.82%, Memory: 9.118GiB / 251.5GiB
cool_babbage: CPU: 1510.87%, Memory: 9.118GiB / 251.5GiB
cool_babbage: CPU: 1553.76%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 1554.76%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 1557.72%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 1540.11%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 1548.74%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 484.75%, Memory: 12.16GiB / 251.5GiB
cool_babbage: CPU: 1503.80%, Memory: 9.185GiB / 251.5GiB
cool_babbage: CPU: 1499.09%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1538.10%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1496.45%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1513.39%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1548.25%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1509.87%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1520.64%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1550.01%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1563.62%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1519.05%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1485.16%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 1545.74%, Memory: 9.184GiB / 251.5GiB
cool_babbage: CPU: 100.56%, Memory: 12.17GiB / 251.5GiB
awesome_sanderson: CPU: 142.65%, Memory: 140.5MiB / 251.5GiB
awesome_sanderson: CPU: 99.01%, Memory: 3.086GiB / 251.5GiB
awesome_sanderson: CPU: 101.67%, Memory: 4.318GiB / 251.5GiB
awesome_sanderson: CPU: 101.86%, Memory: 5.554GiB / 251.5GiB
awesome_sanderson: CPU: 100.00%, Memory: 7.336GiB / 251.5GiB
awesome_sanderson: CPU: 99.93%, Memory: 3.666GiB / 251.5GiB
awesome_sanderson: CPU: 101.39%, Memory: 5.065GiB / 251.5GiB
awesome_sanderson: CPU: 1198.62%, Memory: 6.107GiB / 251.5GiB
awesome_sanderson: CPU: 1549.19%, Memory: 6.106GiB / 251.5GiB
awesome_sanderson: CPU: 1065.97%, Memory: 6.106GiB / 251.5GiB
awesome_sanderson: CPU: 1584.21%, Memory: 9.109GiB / 251.5GiB
awesome_sanderson: CPU: 1584.90%, Memory: 9.108GiB / 251.5GiB
awesome_sanderson: CPU: 1557.05%, Memory: 9.108GiB / 251.5GiB
awesome_sanderson: CPU: 1560.03%, Memory: 9.108GiB / 251.5GiB
awesome_sanderson: CPU: 1559.23%, Memory: 9.108GiB / 251.5GiB
awesome_sanderson: CPU: 1554.78%, Memory: 9.108GiB / 251.5GiB
awesome_sanderson: CPU: 1562.53%, Memory: 9.116GiB / 251.5GiB
awesome_sanderson: CPU: 1559.15%, Memory: 9.116GiB / 251.5GiB
awesome_sanderson: CPU: 1557.77%, Memory: 9.116GiB / 251.5GiB
awesome_sanderson: CPU: 1544.49%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1557.70%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1557.38%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1480.97%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1504.86%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1560.61%, Memory: 9.117GiB / 251.5GiB
awesome_sanderson: CPU: 1565.33%, Memory: 9.118GiB / 251.5GiB
awesome_sanderson: CPU: 1579.88%, Memory: 9.118GiB / 251.5GiB
awesome_sanderson: CPU: 1586.36%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1586.20%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1580.55%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1586.00%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1583.23%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 898.10%, Memory: 12.16GiB / 251.5GiB
awesome_sanderson: CPU: 1153.57%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1493.23%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1495.30%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1503.92%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1502.73%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1523.37%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1494.85%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1483.58%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1547.33%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1553.91%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1559.30%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1553.54%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1494.33%, Memory: 9.184GiB / 251.5GiB
awesome_sanderson: CPU: 1499.86%, Memory: 9.184GiB / 251.5GiB
