wizardly_montalcini: CPU: 99.18%, Memory: 184.9MiB / 251.5GiB
wizardly_montalcini: CPU: 1533.74%, Memory: 530.8MiB / 251.5GiB
nifty_matsumoto: CPU: 100.61%, Memory: 209.1MiB / 251.5GiB
nifty_matsumoto: CPU: 476.97%, Memory: 535.5MiB / 251.5GiB
stoic_hypatia: CPU: 300.08%, Memory: 67.41MiB / 251.5GiB
stoic_hypatia: CPU: 869.40%, Memory: 535.3MiB / 251.5GiB
trusting_ardinghelli: CPU: 100.40%, Memory: 408.2MiB / 251.5GiB
trusting_ardinghelli: CPU: 127.54%, Memory: 535.6MiB / 251.5GiB
sharp_poitras: CPU: 314.68%, Memory: 67.48MiB / 251.5GiB
sharp_poitras: CPU: 631.77%, Memory: 535.6MiB / 251.5GiB
loving_keldysh: CPU: 294.17%, Memory: 67.34MiB / 251.5GiB
loving_keldysh: CPU: 740.43%, Memory: 535.4MiB / 251.5GiB
hungry_mayer: CPU: 236.36%, Memory: 67.74MiB / 251.5GiB
hungry_mayer: CPU: 616.79%, Memory: 535.5MiB / 251.5GiB
loving_dhawan: CPU: 174.49%, Memory: 67.55MiB / 251.5GiB
loving_dhawan: CPU: 565.58%, Memory: 534.6MiB / 251.5GiB
elegant_easley: CPU: 276.40%, Memory: 67.45MiB / 251.5GiB
elegant_easley: CPU: 619.21%, Memory: 535.5MiB / 251.5GiB
hopeful_poitras: CPU: 176.46%, Memory: 68.17MiB / 251.5GiB
hopeful_poitras: CPU: 634.42%, Memory: 535.4MiB / 251.5GiB
