hardcore_hermann: CPU: 208.25%, Memory: 1.252GiB / 251.5GiB
hardcore_hermann: CPU: 1576.31%, Memory: 2.293GiB / 251.5GiB
hardcore_hermann: CPU: 1548.62%, Memory: 2.291GiB / 251.5GiB
hardcore_hermann: CPU: 911.37%, Memory: 2.293GiB / 251.5GiB
hardcore_hermann: CPU: 1581.91%, Memory: 2.291GiB / 251.5GiB
suspicious_sammet: CPU: 99.57%, Memory: 1.354GiB / 251.5GiB
suspicious_sammet: CPU: 1503.49%, Memory: 2.291GiB / 251.5GiB
suspicious_sammet: CPU: 1563.26%, Memory: 2.292GiB / 251.5GiB
suspicious_sammet: CPU: 437.20%, Memory: 2.294GiB / 251.5GiB
suspicious_sammet: CPU: 1538.11%, Memory: 2.292GiB / 251.5GiB
eager_murdock: CPU: 100.94%, Memory: 815MiB / 251.5GiB
eager_murdock: CPU: 1573.08%, Memory: 2.291GiB / 251.5GiB
eager_murdock: CPU: 1582.80%, Memory: 2.291GiB / 251.5GiB
eager_murdock: CPU: 1062.71%, Memory: 2.292GiB / 251.5GiB
eager_murdock: CPU: 1527.96%, Memory: 2.292GiB / 251.5GiB
eager_murdock: CPU: 0.00%, Memory: 0B / 0B
festive_bohr: CPU: 198.15%, Memory: 1.222GiB / 251.5GiB
festive_bohr: CPU: 1554.41%, Memory: 2.293GiB / 251.5GiB
festive_bohr: CPU: 1548.18%, Memory: 2.291GiB / 251.5GiB
festive_bohr: CPU: 510.76%, Memory: 2.294GiB / 251.5GiB
festive_bohr: CPU: 1579.59%, Memory: 2.292GiB / 251.5GiB
vigorous_montalcini: CPU: 101.34%, Memory: 1.302GiB / 251.5GiB
vigorous_montalcini: CPU: 1555.13%, Memory: 2.293GiB / 251.5GiB
vigorous_montalcini: CPU: 1551.17%, Memory: 2.291GiB / 251.5GiB
vigorous_montalcini: CPU: 753.42%, Memory: 2.293GiB / 251.5GiB
vigorous_montalcini: CPU: 1523.47%, Memory: 2.291GiB / 251.5GiB
boring_feistel: CPU: 112.49%, Memory: 1.34GiB / 251.5GiB
boring_feistel: CPU: 1542.69%, Memory: 2.294GiB / 251.5GiB
boring_feistel: CPU: 1553.93%, Memory: 2.292GiB / 251.5GiB
boring_feistel: CPU: 616.42%, Memory: 2.294GiB / 251.5GiB
boring_feistel: CPU: 1570.08%, Memory: 2.292GiB / 251.5GiB
friendly_cray: CPU: 101.54%, Memory: 1.184GiB / 251.5GiB
friendly_cray: CPU: 1585.96%, Memory: 2.293GiB / 251.5GiB
friendly_cray: CPU: 1547.44%, Memory: 2.292GiB / 251.5GiB
friendly_cray: CPU: 1249.07%, Memory: 2.293GiB / 251.5GiB
friendly_cray: CPU: 1493.96%, Memory: 2.292GiB / 251.5GiB
dreamy_cray: CPU: 99.52%, Memory: 882.2MiB / 251.5GiB
dreamy_cray: CPU: 1548.30%, Memory: 2.294GiB / 251.5GiB
dreamy_cray: CPU: 1549.67%, Memory: 2.292GiB / 251.5GiB
dreamy_cray: CPU: 567.40%, Memory: 2.294GiB / 251.5GiB
dreamy_cray: CPU: 1553.25%, Memory: 2.292GiB / 251.5GiB
brave_shamir: CPU: 100.84%, Memory: 1.196GiB / 251.5GiB
brave_shamir: CPU: 1578.02%, Memory: 2.293GiB / 251.5GiB
brave_shamir: CPU: 1583.53%, Memory: 2.291GiB / 251.5GiB
brave_shamir: CPU: 1536.46%, Memory: 2.292GiB / 251.5GiB
brave_shamir: CPU: 1549.58%, Memory: 2.291GiB / 251.5GiB
agitated_engelbart: CPU: 180.20%, Memory: 1.265GiB / 251.5GiB
agitated_engelbart: CPU: 1576.43%, Memory: 2.294GiB / 251.5GiB
agitated_engelbart: CPU: 1579.23%, Memory: 2.292GiB / 251.5GiB
agitated_engelbart: CPU: 887.65%, Memory: 2.294GiB / 251.5GiB
agitated_engelbart: CPU: 1556.37%, Memory: 2.292GiB / 251.5GiB
