frosty_hugle: CPU: 113.58%, Memory: 1.228GiB / 251.5GiB
frosty_hugle: CPU: 101.33%, Memory: 4.165GiB / 251.5GiB
frosty_hugle: CPU: 101.58%, Memory: 4.161GiB / 251.5GiB
frosty_hugle: CPU: 100.90%, Memory: 4.271GiB / 251.5GiB
frosty_hugle: CPU: 217.00%, Memory: 9.038GiB / 251.5GiB
frosty_hugle: CPU: 1573.47%, Memory: 9.038GiB / 251.5GiB
frosty_hugle: CPU: 1531.43%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1581.49%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1574.36%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1510.07%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1513.30%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1581.00%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1581.80%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1551.71%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1553.22%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1587.53%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1579.17%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1574.21%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1579.74%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1506.93%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1197.48%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 99.87%, Memory: 12.02GiB / 251.5GiB
frosty_hugle: CPU: 1580.19%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1558.62%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1548.95%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1553.03%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1578.49%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1588.78%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1584.82%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1581.65%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1584.39%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1541.49%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1579.38%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 1549.95%, Memory: 9.039GiB / 251.5GiB
frosty_hugle: CPU: 100.97%, Memory: 15.11GiB / 251.5GiB
funny_feynman: CPU: 166.64%, Memory: 1.175GiB / 251.5GiB
funny_feynman: CPU: 100.05%, Memory: 4.127GiB / 251.5GiB
funny_feynman: CPU: 101.84%, Memory: 4.142GiB / 251.5GiB
funny_feynman: CPU: 99.83%, Memory: 4.348GiB / 251.5GiB
funny_feynman: CPU: 371.94%, Memory: 9.038GiB / 251.5GiB
funny_feynman: CPU: 1494.05%, Memory: 9.038GiB / 251.5GiB
funny_feynman: CPU: 1554.17%, Memory: 9.038GiB / 251.5GiB
funny_feynman: CPU: 1545.97%, Memory: 9.038GiB / 251.5GiB
funny_feynman: CPU: 1494.97%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1493.81%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1501.07%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1550.28%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1570.85%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1499.91%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1580.05%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1586.64%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1583.21%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1588.34%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1583.22%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1582.77%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1582.14%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1583.75%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1563.94%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 100.77%, Memory: 12.02GiB / 251.5GiB
funny_feynman: CPU: 1001.20%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1580.18%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1581.45%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1580.05%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1560.09%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1547.21%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1541.26%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1554.47%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1538.12%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1552.22%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1584.52%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 1553.33%, Memory: 9.039GiB / 251.5GiB
funny_feynman: CPU: 109.76%, Memory: 11.89GiB / 251.5GiB
flamboyant_wilson: CPU: 100.12%, Memory: 2.042GiB / 251.5GiB
flamboyant_wilson: CPU: 100.31%, Memory: 4.891GiB / 251.5GiB
flamboyant_wilson: CPU: 99.44%, Memory: 5.505GiB / 251.5GiB
flamboyant_wilson: CPU: 100.75%, Memory: 5.187GiB / 251.5GiB
flamboyant_wilson: CPU: 1345.99%, Memory: 9.039GiB / 251.5GiB
flamboyant_wilson: CPU: 1580.45%, Memory: 9.038GiB / 251.5GiB
flamboyant_wilson: CPU: 1579.23%, Memory: 9.038GiB / 251.5GiB
