recursing_napier: CPU: 291.35%, Memory: 66.84MiB / 251.5GiB
recursing_napier: CPU: 101.22%, Memory: 1.561GiB / 251.5GiB
recursing_napier: CPU: 100.19%, Memory: 1.79GiB / 251.5GiB
recursing_napier: CPU: 1560.25%, Memory: 2.349GiB / 251.5GiB
magical_saha: CPU: 101.09%, Memory: 453.8MiB / 251.5GiB
magical_saha: CPU: 100.84%, Memory: 1.316GiB / 251.5GiB
magical_saha: CPU: 281.84%, Memory: 2.35GiB / 251.5GiB
magical_saha: CPU: 1552.39%, Memory: 2.349GiB / 251.5GiB
elastic_hoover: CPU: 276.91%, Memory: 67MiB / 251.5GiB
elastic_hoover: CPU: 101.58%, Memory: 2.277GiB / 251.5GiB
elastic_hoover: CPU: 100.31%, Memory: 2.308GiB / 251.5GiB
elastic_hoover: CPU: 1556.43%, Memory: 2.349GiB / 251.5GiB
sweet_golick: CPU: 100.84%, Memory: 326.8MiB / 251.5GiB
sweet_golick: CPU: 100.53%, Memory: 1.137GiB / 251.5GiB
sweet_golick: CPU: 101.58%, Memory: 1.564GiB / 251.5GiB
sweet_golick: CPU: 1552.23%, Memory: 2.349GiB / 251.5GiB
hungry_goodall: CPU: 242.69%, Memory: 67.29MiB / 251.5GiB
hungry_goodall: CPU: 102.37%, Memory: 1.561GiB / 251.5GiB
hungry_goodall: CPU: 101.28%, Memory: 1.836GiB / 251.5GiB
hungry_goodall: CPU: 1541.89%, Memory: 2.349GiB / 251.5GiB
xenodochial_torvalds: CPU: 100.96%, Memory: 305.2MiB / 251.5GiB
xenodochial_torvalds: CPU: 100.69%, Memory: 1.115GiB / 251.5GiB
xenodochial_torvalds: CPU: 101.28%, Memory: 1.564GiB / 251.5GiB
xenodochial_torvalds: CPU: 1552.85%, Memory: 2.349GiB / 251.5GiB
angry_kowalevski: CPU: 215.48%, Memory: 67.37MiB / 251.5GiB
angry_kowalevski: CPU: 99.71%, Memory: 1.561GiB / 251.5GiB
angry_kowalevski: CPU: 101.32%, Memory: 1.562GiB / 251.5GiB
angry_kowalevski: CPU: 1548.51%, Memory: 2.349GiB / 251.5GiB
amazing_archimedes: CPU: 100.96%, Memory: 485.7MiB / 251.5GiB
amazing_archimedes: CPU: 101.71%, Memory: 1.304GiB / 251.5GiB
amazing_archimedes: CPU: 182.05%, Memory: 2.218GiB / 251.5GiB
amazing_archimedes: CPU: 1543.98%, Memory: 2.349GiB / 251.5GiB
nifty_hawking: CPU: 288.53%, Memory: 66.89MiB / 251.5GiB
nifty_hawking: CPU: 100.31%, Memory: 1.561GiB / 251.5GiB
nifty_hawking: CPU: 100.88%, Memory: 2.308GiB / 251.5GiB
nifty_hawking: CPU: 1577.66%, Memory: 2.349GiB / 251.5GiB
objective_volhard3: CPU: 99.98%, Memory: 534.9MiB / 251.5GiB
objective_volhard3: CPU: 101.00%, Memory: 1.386GiB / 251.5GiB
objective_volhard3: CPU: 328.42%, Memory: 2.35GiB / 251.5GiB
objective_volhard3: CPU: 1560.00%, Memory: 2.349GiB / 251.5GiB
