zealous_lovelace: CPU: 265.44%, Memory: 67.06MiB / 251.5GiB
zealous_lovelace: CPU: 102.12%, Memory: 2.873GiB / 251.5GiB
zealous_lovelace: CPU: 101.09%, Memory: 4.219GiB / 251.5GiB
zealous_lovelace: CPU: 99.46%, Memory: 5.459GiB / 251.5GiB
zealous_lovelace: CPU: 101.15%, Memory: 6.756GiB / 251.5GiB
zealous_lovelace: CPU: 101.06%, Memory: 4.508GiB / 251.5GiB
zealous_lovelace: CPU: 100.81%, Memory: 6.654GiB / 251.5GiB
zealous_lovelace: CPU: 101.09%, Memory: 7.904GiB / 251.5GiB
zealous_lovelace: CPU: 101.03%, Memory: 6.531GiB / 251.5GiB
zealous_lovelace: CPU: 101.33%, Memory: 6.042GiB / 251.5GiB
zealous_lovelace: CPU: 1545.88%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1557.36%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1547.31%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1540.34%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1549.04%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1563.65%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1549.77%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1550.79%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1559.51%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1550.12%, Memory: 9.097GiB / 251.5GiB
zealous_lovelace: CPU: 1517.06%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 99.68%, Memory: 756.1MiB / 251.5GiB
vigorous_shannon: CPU: 100.12%, Memory: 3.342GiB / 251.5GiB
vigorous_shannon: CPU: 99.56%, Memory: 4.611GiB / 251.5GiB
vigorous_shannon: CPU: 101.03%, Memory: 5.878GiB / 251.5GiB
vigorous_shannon: CPU: 101.86%, Memory: 6.04GiB / 251.5GiB
vigorous_shannon: CPU: 100.88%, Memory: 5.516GiB / 251.5GiB
vigorous_shannon: CPU: 101.22%, Memory: 7.083GiB / 251.5GiB
vigorous_shannon: CPU: 100.90%, Memory: 8.347GiB / 251.5GiB
vigorous_shannon: CPU: 101.47%, Memory: 9.187GiB / 251.5GiB
vigorous_shannon: CPU: 989.41%, Memory: 9.098GiB / 251.5GiB
vigorous_shannon: CPU: 1558.16%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1549.25%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1547.22%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1551.08%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1542.98%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1579.09%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1579.80%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1585.30%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1594.50%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1581.95%, Memory: 9.097GiB / 251.5GiB
vigorous_shannon: CPU: 1583.50%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 211.21%, Memory: 68.59MiB / 251.5GiB
eloquent_ride: CPU: 100.44%, Memory: 2.992GiB / 251.5GiB
eloquent_ride: CPU: 100.24%, Memory: 4.286GiB / 251.5GiB
eloquent_ride: CPU: 100.68%, Memory: 5.543GiB / 251.5GiB
eloquent_ride: CPU: 100.56%, Memory: 7.333GiB / 251.5GiB
eloquent_ride: CPU: 100.94%, Memory: 4.733GiB / 251.5GiB
eloquent_ride: CPU: 100.52%, Memory: 6.754GiB / 251.5GiB
eloquent_ride: CPU: 100.58%, Memory: 8.017GiB / 251.5GiB
eloquent_ride: CPU: 99.37%, Memory: 7.257GiB / 251.5GiB
eloquent_ride: CPU: 99.99%, Memory: 6.043GiB / 251.5GiB
eloquent_ride: CPU: 1546.36%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1547.02%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1539.51%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1504.14%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1576.05%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1518.82%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1523.50%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1504.61%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1582.83%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1523.95%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1526.45%, Memory: 9.097GiB / 251.5GiB
eloquent_ride: CPU: 1488.07%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 212.73%, Memory: 98.8MiB / 251.5GiB
exciting_jennings: CPU: 101.39%, Memory: 3.07GiB / 251.5GiB
exciting_jennings: CPU: 100.37%, Memory: 4.313GiB / 251.5GiB
exciting_jennings: CPU: 100.90%, Memory: 5.555GiB / 251.5GiB
exciting_jennings: CPU: 100.94%, Memory: 7.366GiB / 251.5GiB
exciting_jennings: CPU: 100.69%, Memory: 4.735GiB / 251.5GiB
exciting_jennings: CPU: 101.09%, Memory: 6.744GiB / 251.5GiB
exciting_jennings: CPU: 99.33%, Memory: 7.986GiB / 251.5GiB
exciting_jennings: CPU: 101.86%, Memory: 6.978GiB / 251.5GiB
exciting_jennings: CPU: 100.90%, Memory: 6.042GiB / 251.5GiB
exciting_jennings: CPU: 1540.25%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1544.35%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1548.92%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1553.00%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1585.91%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1542.40%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1560.46%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1581.42%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1581.50%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1510.10%, Memory: 9.097GiB / 251.5GiB
exciting_jennings: CPU: 1583.86%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 100.62%, Memory: 741.1MiB / 251.5GiB
upbeat_maxwell: CPU: 100.31%, Memory: 3.341GiB / 251.5GiB
upbeat_maxwell: CPU: 100.18%, Memory: 4.618GiB / 251.5GiB
upbeat_maxwell: CPU: 101.52%, Memory: 5.891GiB / 251.5GiB
upbeat_maxwell: CPU: 101.28%, Memory: 6.04GiB / 251.5GiB
upbeat_maxwell: CPU: 100.44%, Memory: 5.581GiB / 251.5GiB
upbeat_maxwell: CPU: 101.71%, Memory: 7.125GiB / 251.5GiB
upbeat_maxwell: CPU: 99.37%, Memory: 8.405GiB / 251.5GiB
upbeat_maxwell: CPU: 99.06%, Memory: 9.633GiB / 251.5GiB
upbeat_maxwell: CPU: 1194.50%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1549.11%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1551.03%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1551.65%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1567.89%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1550.32%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1556.28%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1562.56%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1579.71%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1579.40%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1513.52%, Memory: 9.097GiB / 251.5GiB
upbeat_maxwell: CPU: 1494.54%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 212.71%, Memory: 67.33MiB / 251.5GiB
trusting_bhaskara: CPU: 101.84%, Memory: 2.94GiB / 251.5GiB
trusting_bhaskara: CPU: 100.08%, Memory: 4.266GiB / 251.5GiB
trusting_bhaskara: CPU: 101.60%, Memory: 5.527GiB / 251.5GiB
trusting_bhaskara: CPU: 100.75%, Memory: 7.203GiB / 251.5GiB
trusting_bhaskara: CPU: 100.40%, Memory: 4.672GiB / 251.5GiB
trusting_bhaskara: CPU: 100.58%, Memory: 6.728GiB / 251.5GiB
trusting_bhaskara: CPU: 100.11%, Memory: 7.994GiB / 251.5GiB
trusting_bhaskara: CPU: 100.64%, Memory: 7.142GiB / 251.5GiB
trusting_bhaskara: CPU: 100.06%, Memory: 6.043GiB / 251.5GiB
trusting_bhaskara: CPU: 1553.32%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1548.07%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1556.37%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1547.67%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1518.98%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1579.49%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1534.78%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1568.47%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1554.78%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1577.77%, Memory: 9.097GiB / 251.5GiB
trusting_bhaskara: CPU: 1578.81%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 100.12%, Memory: 738.1MiB / 251.5GiB
gifted_mayer: CPU: 100.37%, Memory: 3.319GiB / 251.5GiB
gifted_mayer: CPU: 99.65%, Memory: 4.554GiB / 251.5GiB
gifted_mayer: CPU: 100.18%, Memory: 5.786GiB / 251.5GiB
gifted_mayer: CPU: 100.88%, Memory: 8.752GiB / 251.5GiB
gifted_mayer: CPU: 100.82%, Memory: 5.264GiB / 251.5GiB
gifted_mayer: CPU: 99.52%, Memory: 6.956GiB / 251.5GiB
gifted_mayer: CPU: 99.87%, Memory: 8.193GiB / 251.5GiB
gifted_mayer: CPU: 99.68%, Memory: 8.162GiB / 251.5GiB
gifted_mayer: CPU: 475.55%, Memory: 9.098GiB / 251.5GiB
gifted_mayer: CPU: 1549.13%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1544.97%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1549.37%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1548.14%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1544.80%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1550.43%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1549.52%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1582.07%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1578.57%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1514.05%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1542.10%, Memory: 9.097GiB / 251.5GiB
gifted_mayer: CPU: 1579.49%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 214.68%, Memory: 67.34MiB / 251.5GiB
funny_cartwright: CPU: 99.69%, Memory: 2.916GiB / 251.5GiB
funny_cartwright: CPU: 100.18%, Memory: 4.236GiB / 251.5GiB
funny_cartwright: CPU: 100.52%, Memory: 5.476GiB / 251.5GiB
funny_cartwright: CPU: 100.75%, Memory: 6.842GiB / 251.5GiB
funny_cartwright: CPU: 101.52%, Memory: 4.537GiB / 251.5GiB
funny_cartwright: CPU: 101.41%, Memory: 6.654GiB / 251.5GiB
funny_cartwright: CPU: 101.03%, Memory: 7.89GiB / 251.5GiB
funny_cartwright: CPU: 101.71%, Memory: 6.378GiB / 251.5GiB
funny_cartwright: CPU: 101.07%, Memory: 6.041GiB / 251.5GiB
funny_cartwright: CPU: 1523.95%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1550.81%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1552.74%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1548.74%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1584.14%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1554.77%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1578.93%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1584.62%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1582.59%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1587.60%, Memory: 9.097GiB / 251.5GiB
funny_cartwright: CPU: 1582.54%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 183.11%, Memory: 67.5MiB / 251.5GiB
objective_cray: CPU: 100.06%, Memory: 2.931GiB / 251.5GiB
objective_cray: CPU: 101.28%, Memory: 4.242GiB / 251.5GiB
objective_cray: CPU: 102.05%, Memory: 5.475GiB / 251.5GiB
objective_cray: CPU: 100.39%, Memory: 6.769GiB / 251.5GiB
objective_cray: CPU: 101.53%, Memory: 4.493GiB / 251.5GiB
objective_cray: CPU: 100.56%, Memory: 6.638GiB / 251.5GiB
objective_cray: CPU: 99.75%, Memory: 7.875GiB / 251.5GiB
objective_cray: CPU: 99.68%, Memory: 6.272GiB / 251.5GiB
objective_cray: CPU: 100.77%, Memory: 6.041GiB / 251.5GiB
objective_cray: CPU: 1554.53%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1557.79%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1549.28%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1559.45%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1552.15%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1556.06%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1562.07%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1544.97%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1571.91%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1579.99%, Memory: 9.097GiB / 251.5GiB
objective_cray: CPU: 1579.51%, Memory: 9.097GiB / 251.5GiB
elegant_pare: CPU: 214.30%, Memory: 69.04MiB / 251.5GiB
elegant_pare: CPU: 101.80%, Memory: 2.997GiB / 251.5GiB
elegant_pare: CPU: 101.20%, Memory: 4.262GiB / 251.5GiB
elegant_pare: CPU: 101.28%, Memory: 5.488GiB / 251.5GiB
elegant_pare: CPU: 101.09%, Memory: 6.901GiB / 251.5GiB
elegant_pare: CPU: 99.62%, Memory: 4.54GiB / 251.5GiB
elegant_pare: CPU: 101.92%, Memory: 6.659GiB / 251.5GiB
elegant_pare: CPU: 100.18%, Memory: 7.889GiB / 251.5GiB
elegant_pare: CPU: 101.39%, Memory: 6.367GiB / 251.5GiB
elegant_pare: CPU: 101.25%, Memory: 6.041GiB / 251.5GiB
elegant_pare: CPU: 1549.15%, Memory: 9.097GiB / 251.5GiB
elegant_pare: CPU: 1543.21%, Memory: 9.097GiB / 251.5GiB
