distracted_roentgen: CPU: 178.45%, Memory: 1.288GiB / 251.5GiB
distracted_roentgen: CPU: 1549.59%, Memory: 2.27GiB / 251.5GiB
distracted_roentgen: CPU: 1585.26%, Memory: 2.272GiB / 251.5GiB
distracted_roentgen: CPU: 1580.24%, Memory: 2.279GiB / 251.5GiB
distracted_roentgen: CPU: 1502.47%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1488.88%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1495.79%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1486.14%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1484.18%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1503.57%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1497.04%, Memory: 3.026GiB / 251.5GiB
distracted_roentgen: CPU: 1564.11%, Memory: 3.027GiB / 251.5GiB
distracted_roentgen: CPU: 174.56%, Memory: 2.77GiB / 251.5GiB
distracted_roentgen: CPU: 1582.01%, Memory: 3.787GiB / 251.5GiB
distracted_roentgen: CPU: 1398.90%, Memory: 4.533GiB / 251.5GiB
distracted_roentgen: CPU: 1584.77%, Memory: 3.787GiB / 251.5GiB
distracted_roentgen: CPU: 1501.05%, Memory: 2.294GiB / 251.5GiB
distracted_roentgen: CPU: 1532.10%, Memory: 2.294GiB / 251.5GiB
hardcore_liskov: CPU: 184.44%, Memory: 1.226GiB / 251.5GiB
hardcore_liskov: CPU: 1568.07%, Memory: 2.27GiB / 251.5GiB
hardcore_liskov: CPU: 1581.06%, Memory: 2.273GiB / 251.5GiB
hardcore_liskov: CPU: 1586.24%, Memory: 2.28GiB / 251.5GiB
hardcore_liskov: CPU: 1589.55%, Memory: 3.026GiB / 251.5GiB
hardcore_liskov: CPU: 1586.92%, Memory: 3.027GiB / 251.5GiB
hardcore_liskov: CPU: 1580.58%, Memory: 3.027GiB / 251.5GiB
hardcore_liskov: CPU: 1550.96%, Memory: 3.787GiB / 251.5GiB
hardcore_liskov: CPU: 1569.74%, Memory: 3.788GiB / 251.5GiB
hardcore_liskov: CPU: 899.79%, Memory: 3.789GiB / 251.5GiB
hardcore_liskov: CPU: 1532.01%, Memory: 3.788GiB / 251.5GiB
hardcore_liskov: CPU: 1584.54%, Memory: 2.294GiB / 251.5GiB
keen_kilby: CPU: 100.40%, Memory: 927.7MiB / 251.5GiB
keen_kilby: CPU: 1546.97%, Memory: 2.27GiB / 251.5GiB
keen_kilby: CPU: 1545.88%, Memory: 2.273GiB / 251.5GiB
keen_kilby: CPU: 1564.57%, Memory: 2.281GiB / 251.5GiB
keen_kilby: CPU: 1582.28%, Memory: 3.026GiB / 251.5GiB
keen_kilby: CPU: 1547.42%, Memory: 3.027GiB / 251.5GiB
keen_kilby: CPU: 1488.64%, Memory: 3.027GiB / 251.5GiB
keen_kilby: CPU: 1499.60%, Memory: 3.027GiB / 251.5GiB
keen_kilby: CPU: 1501.51%, Memory: 3.027GiB / 251.5GiB
keen_kilby: CPU: 1330.84%, Memory: 3.788GiB / 251.5GiB
keen_kilby: CPU: 1580.07%, Memory: 3.787GiB / 251.5GiB
keen_kilby: CPU: 603.85%, Memory: 3.79GiB / 251.5GiB
keen_kilby: CPU: 1527.43%, Memory: 3.787GiB / 251.5GiB
keen_kilby: CPU: 1551.19%, Memory: 2.294GiB / 251.5GiB
keen_kilby: CPU: 1233.70%, Memory: 2.99GiB / 251.5GiB
angry_shamir: CPU: 100.51%, Memory: 1.359GiB / 251.5GiB
angry_shamir: CPU: 1562.85%, Memory: 2.27GiB / 251.5GiB
angry_shamir: CPU: 1573.86%, Memory: 2.272GiB / 251.5GiB
angry_shamir: CPU: 1582.98%, Memory: 2.278GiB / 251.5GiB
angry_shamir: CPU: 1301.84%, Memory: 3.025GiB / 251.5GiB
angry_shamir: CPU: 1549.10%, Memory: 3.026GiB / 251.5GiB
angry_shamir: CPU: 1588.03%, Memory: 3.027GiB / 251.5GiB
angry_shamir: CPU: 162.47%, Memory: 3.788GiB / 251.5GiB
angry_shamir: CPU: 1581.09%, Memory: 3.787GiB / 251.5GiB
angry_shamir: CPU: 770.95%, Memory: 4.534GiB / 251.5GiB
angry_shamir: CPU: 1555.48%, Memory: 3.787GiB / 251.5GiB
angry_shamir: CPU: 1494.29%, Memory: 2.294GiB / 251.5GiB
angry_shamir: CPU: 1491.34%, Memory: 2.294GiB / 251.5GiB
festive_dewdney: CPU: 100.27%, Memory: 827.4MiB / 251.5GiB
festive_dewdney: CPU: 1557.83%, Memory: 2.271GiB / 251.5GiB
festive_dewdney: CPU: 1554.38%, Memory: 2.273GiB / 251.5GiB
festive_dewdney: CPU: 1576.31%, Memory: 2.276GiB / 251.5GiB
festive_dewdney: CPU: 727.76%, Memory: 3.025GiB / 251.5GiB
festive_dewdney: CPU: 1526.12%, Memory: 3.026GiB / 251.5GiB
festive_dewdney: CPU: 1538.76%, Memory: 3.026GiB / 251.5GiB
festive_dewdney: CPU: 1500.74%, Memory: 3.027GiB / 251.5GiB
festive_dewdney: CPU: 1495.84%, Memory: 3.027GiB / 251.5GiB
festive_dewdney: CPU: 1498.07%, Memory: 3.027GiB / 251.5GiB
festive_dewdney: CPU: 1530.63%, Memory: 3.027GiB / 251.5GiB
festive_dewdney: CPU: 1122.18%, Memory: 3.788GiB / 251.5GiB
festive_dewdney: CPU: 1545.04%, Memory: 3.787GiB / 251.5GiB
festive_dewdney: CPU: 574.68%, Memory: 3.789GiB / 251.5GiB
festive_dewdney: CPU: 1579.42%, Memory: 3.787GiB / 251.5GiB
festive_dewdney: CPU: 1548.96%, Memory: 2.294GiB / 251.5GiB
festive_dewdney: CPU: 1361.21%, Memory: 2.737GiB / 251.5GiB
stoic_montalcini: CPU: 166.96%, Memory: 1.306GiB / 251.5GiB
stoic_montalcini: CPU: 1573.20%, Memory: 2.27GiB / 251.5GiB
stoic_montalcini: CPU: 1510.48%, Memory: 2.272GiB / 251.5GiB
stoic_montalcini: CPU: 1557.93%, Memory: 2.275GiB / 251.5GiB
stoic_montalcini: CPU: 585.62%, Memory: 2.114GiB / 251.5GiB
stoic_montalcini: CPU: 1581.54%, Memory: 3.026GiB / 251.5GiB
stoic_montalcini: CPU: 1583.88%, Memory: 3.026GiB / 251.5GiB
stoic_montalcini: CPU: 1129.69%, Memory: 3.773GiB / 251.5GiB
stoic_montalcini: CPU: 1583.12%, Memory: 3.789GiB / 251.5GiB
stoic_montalcini: CPU: 1483.96%, Memory: 3.787GiB / 251.5GiB
stoic_montalcini: CPU: 1580.97%, Memory: 3.788GiB / 251.5GiB
stoic_montalcini: CPU: 1397.92%, Memory: 2.294GiB / 251.5GiB
stoic_montalcini: CPU: 1558.44%, Memory: 2.294GiB / 251.5GiB
sleepy_chebyshev2: CPU: 99.56%, Memory: 1.131GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1518.50%, Memory: 2.271GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1529.84%, Memory: 2.272GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1531.32%, Memory: 2.273GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1556.60%, Memory: 2.281GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1569.24%, Memory: 3.026GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1588.47%, Memory: 3.026GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1574.24%, Memory: 3.027GiB / 251.5GiB
sleepy_chebyshev2: CPU: 100.94%, Memory: 3.68GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1495.36%, Memory: 3.787GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1546.20%, Memory: 3.789GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1540.93%, Memory: 3.787GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1484.49%, Memory: 3.787GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1425.60%, Memory: 2.294GiB / 251.5GiB
sleepy_chebyshev2: CPU: 1581.21%, Memory: 2.294GiB / 251.5GiB
pedantic_blackwell4: CPU: 101.06%, Memory: 901MiB / 251.5GiB
pedantic_blackwell4: CPU: 1536.54%, Memory: 2.27GiB / 251.5GiB
pedantic_blackwell4: CPU: 1542.65%, Memory: 2.272GiB / 251.5GiB
pedantic_blackwell4: CPU: 1560.25%, Memory: 2.276GiB / 251.5GiB
pedantic_blackwell4: CPU: 338.86%, Memory: 3.025GiB / 251.5GiB
pedantic_blackwell4: CPU: 1579.27%, Memory: 3.026GiB / 251.5GiB
pedantic_blackwell4: CPU: 1580.66%, Memory: 3.026GiB / 251.5GiB
pedantic_blackwell4: CPU: 103.03%, Memory: 2.831GiB / 251.5GiB
pedantic_blackwell4: CPU: 1568.57%, Memory: 3.788GiB / 251.5GiB
pedantic_blackwell4: CPU: 1494.15%, Memory: 3.903GiB / 251.5GiB
pedantic_blackwell4: CPU: 1557.80%, Memory: 3.787GiB / 251.5GiB
