determined_maxwell: CPU: 653.16%, Memory: 600.3MiB / 251.5GiB
determined_maxwell: CPU: 1222.07%, Memory: 988.1MiB / 251.5GiB
ecstatic_kalam: CPU: 1214.61%, Memory: 600.8MiB / 251.5GiB
ecstatic_kalam: CPU: 1213.46%, Memory: 1.159GiB / 251.5GiB
sleepy_jang: CPU: 815.45%, Memory: 600.5MiB / 251.5GiB
sleepy_jang: CPU: 1223.99%, Memory: 996.7MiB / 251.5GiB
busy_zhukovsky: CPU: 1252.75%, Memory: 603.1MiB / 251.5GiB
busy_zhukovsky: CPU: 1234.05%, Memory: 995.9MiB / 251.5GiB
exciting_franklin: CPU: 822.33%, Memory: 600.2MiB / 251.5GiB
exciting_franklin: CPU: 1204.56%, Memory: 996.5MiB / 251.5GiB
affectionate_hofstadter: CPU: 811.77%, Memory: 601MiB / 251.5GiB
affectionate_hofstadter: CPU: 1220.97%, Memory: 996.1MiB / 251.5GiB
sleepy_clarke: CPU: 817.64%, Memory: 600.5MiB / 251.5GiB
sleepy_clarke: CPU: 1145.54%, Memory: 996.1MiB / 251.5GiB
nervous_buck: CPU: 1173.19%, Memory: 601.1MiB / 251.5GiB
nervous_buck: CPU: 1223.42%, Memory: 1.158GiB / 251.5GiB
hardcore_shockley: CPU: 804.41%, Memory: 600MiB / 251.5GiB
hardcore_shockley: CPU: 1221.28%, Memory: 997.6MiB / 251.5GiB
wizardly_montalcini: CPU: 1282.83%, Memory: 601.7MiB / 251.5GiB
wizardly_montalcini: CPU: 1222.73%, Memory: 996.4MiB / 251.5GiB
