epic_babbage: CPU: 149.06%, Memory: 1.238GiB / 251.5GiB
epic_babbage: CPU: 1008.42%, Memory: 3.019GiB / 251.5GiB
epic_babbage: CPU: 1557.33%, Memory: 3.022GiB / 251.5GiB
epic_babbage: CPU: 1548.33%, Memory: 3.024GiB / 251.5GiB
epic_babbage: CPU: 1574.69%, Memory: 3.024GiB / 251.5GiB
epic_babbage: CPU: 1554.94%, Memory: 3.022GiB / 251.5GiB
epic_babbage: CPU: 1588.20%, Memory: 3.023GiB / 251.5GiB
epic_babbage: CPU: 1562.22%, Memory: 3.023GiB / 251.5GiB
epic_babbage: CPU: 1549.54%, Memory: 3.023GiB / 251.5GiB
epic_babbage: CPU: 1551.11%, Memory: 3.024GiB / 251.5GiB
epic_babbage: CPU: 1538.94%, Memory: 3.024GiB / 251.5GiB
epic_babbage: CPU: 1551.37%, Memory: 3.024GiB / 251.5GiB
epic_babbage: CPU: 1556.08%, Memory: 3.023GiB / 251.5GiB
epic_babbage: CPU: 1581.23%, Memory: 3.025GiB / 251.5GiB
epic_babbage: CPU: 1585.04%, Memory: 3.026GiB / 251.5GiB
epic_babbage: CPU: 1585.26%, Memory: 3.026GiB / 251.5GiB
epic_babbage: CPU: 1580.35%, Memory: 3.026GiB / 251.5GiB
epic_babbage: CPU: 1584.50%, Memory: 3.027GiB / 251.5GiB
epic_babbage: CPU: 1550.26%, Memory: 3.025GiB / 251.5GiB
epic_babbage: CPU: 1561.54%, Memory: 3.027GiB / 251.5GiB
epic_babbage: CPU: 1581.62%, Memory: 3.028GiB / 251.5GiB
epic_babbage: CPU: 1584.18%, Memory: 3.027GiB / 251.5GiB
epic_babbage: CPU: 1580.38%, Memory: 3.027GiB / 251.5GiB
epic_babbage: CPU: 1544.79%, Memory: 3.028GiB / 251.5GiB
epic_babbage: CPU: 1554.29%, Memory: 3.029GiB / 251.5GiB
epic_babbage: CPU: 1561.00%, Memory: 3.029GiB / 251.5GiB
epic_babbage: CPU: 1584.70%, Memory: 3.029GiB / 251.5GiB
epic_babbage: CPU: 1583.53%, Memory: 3.03GiB / 251.5GiB
epic_babbage: CPU: 1581.60%, Memory: 3.031GiB / 251.5GiB
epic_babbage: CPU: 1584.26%, Memory: 3.03GiB / 251.5GiB
epic_babbage: CPU: 1580.04%, Memory: 3.032GiB / 251.5GiB
epic_babbage: CPU: 1587.76%, Memory: 3.033GiB / 251.5GiB
epic_babbage: CPU: 1589.05%, Memory: 3.035GiB / 251.5GiB
epic_babbage: CPU: 947.49%, Memory: 3.408GiB / 251.5GiB
epic_babbage: CPU: 147.85%, Memory: 4.53GiB / 251.5GiB
epic_babbage: CPU: 1357.35%, Memory: 5.054GiB / 251.5GiB
epic_babbage: CPU: 1166.93%, Memory: 5.053GiB / 251.5GiB
epic_babbage: CPU: 1553.58%, Memory: 5.053GiB / 251.5GiB
epic_babbage: CPU: 1581.59%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1578.48%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1556.16%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1543.33%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1582.96%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1558.67%, Memory: 5.052GiB / 251.5GiB
epic_babbage: CPU: 1535.13%, Memory: 3.084GiB / 251.5GiB
epic_babbage: CPU: 1587.93%, Memory: 3.083GiB / 251.5GiB
epic_babbage: CPU: 1582.69%, Memory: 2.336GiB / 251.5GiB
amazing_pare: CPU: 100.37%, Memory: 1.518GiB / 251.5GiB
amazing_pare: CPU: 1585.18%, Memory: 3.02GiB / 251.5GiB
amazing_pare: CPU: 1523.58%, Memory: 3.022GiB / 251.5GiB
amazing_pare: CPU: 1502.91%, Memory: 3.02GiB / 251.5GiB
amazing_pare: CPU: 1560.66%, Memory: 3.022GiB / 251.5GiB
amazing_pare: CPU: 1547.20%, Memory: 3.02GiB / 251.5GiB
amazing_pare: CPU: 1550.81%, Memory: 3.021GiB / 251.5GiB
amazing_pare: CPU: 1515.30%, Memory: 3.022GiB / 251.5GiB
amazing_pare: CPU: 1513.85%, Memory: 3.022GiB / 251.5GiB
amazing_pare: CPU: 1507.75%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1581.42%, Memory: 3.024GiB / 251.5GiB
amazing_pare: CPU: 1549.12%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1508.95%, Memory: 3.024GiB / 251.5GiB
amazing_pare: CPU: 1553.21%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1554.51%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1530.62%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1541.60%, Memory: 3.025GiB / 251.5GiB
amazing_pare: CPU: 1499.25%, Memory: 3.023GiB / 251.5GiB
amazing_pare: CPU: 1521.81%, Memory: 3.024GiB / 251.5GiB
amazing_pare: CPU: 1491.17%, Memory: 3.025GiB / 251.5GiB
amazing_pare: CPU: 1549.48%, Memory: 3.026GiB / 251.5GiB
amazing_pare: CPU: 1537.17%, Memory: 3.025GiB / 251.5GiB
amazing_pare: CPU: 1504.05%, Memory: 3.026GiB / 251.5GiB
amazing_pare: CPU: 1558.08%, Memory: 3.027GiB / 251.5GiB
amazing_pare: CPU: 1550.09%, Memory: 3.026GiB / 251.5GiB
amazing_pare: CPU: 1523.81%, Memory: 3.025GiB / 251.5GiB
amazing_pare: CPU: 1524.89%, Memory: 3.027GiB / 251.5GiB
amazing_pare: CPU: 1583.62%, Memory: 3.028GiB / 251.5GiB
amazing_pare: CPU: 1482.75%, Memory: 3.025GiB / 251.5GiB
amazing_pare: CPU: 1537.43%, Memory: 3.028GiB / 251.5GiB
amazing_pare: CPU: 1499.46%, Memory: 3.026GiB / 251.5GiB
amazing_pare: CPU: 1558.02%, Memory: 3.028GiB / 251.5GiB
amazing_pare: CPU: 1502.57%, Memory: 3.027GiB / 251.5GiB
amazing_pare: CPU: 1502.75%, Memory: 3.026GiB / 251.5GiB
amazing_pare: CPU: 1542.61%, Memory: 3.028GiB / 251.5GiB
amazing_pare: CPU: 1504.07%, Memory: 3.028GiB / 251.5GiB
amazing_pare: CPU: 1502.41%, Memory: 3.027GiB / 251.5GiB
amazing_pare: CPU: 1492.30%, Memory: 3.029GiB / 251.5GiB
amazing_pare: CPU: 1501.74%, Memory: 3.029GiB / 251.5GiB
amazing_pare: CPU: 1553.85%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1493.63%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1528.64%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1505.42%, Memory: 3.031GiB / 251.5GiB
amazing_pare: CPU: 1500.54%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1498.64%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1547.40%, Memory: 3.032GiB / 251.5GiB
amazing_pare: CPU: 1498.35%, Memory: 3.03GiB / 251.5GiB
amazing_pare: CPU: 1497.87%, Memory: 3.032GiB / 251.5GiB
amazing_pare: CPU: 1237.73%, Memory: 3.068GiB / 251.5GiB
amazing_pare: CPU: 872.69%, Memory: 3.561GiB / 251.5GiB
amazing_pare: CPU: 99.43%, Memory: 4.578GiB / 251.5GiB
amazing_pare: CPU: 1340.16%, Memory: 5.053GiB / 251.5GiB
amazing_pare: CPU: 1592.40%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1580.87%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1576.50%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1587.33%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1583.21%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1580.74%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1506.89%, Memory: 5.052GiB / 251.5GiB
amazing_pare: CPU: 1519.50%, Memory: 3.084GiB / 251.5GiB
amazing_pare: CPU: 1550.56%, Memory: 3.082GiB / 251.5GiB
amazing_pare: CPU: 1523.90%, Memory: 2.336GiB / 251.5GiB
amazing_pare: CPU: 1553.57%, Memory: 2.336GiB / 251.5GiB
sleepy_blackwell: CPU: 215.76%, Memory: 1.154GiB / 251.5GiB
sleepy_blackwell: CPU: 1135.19%, Memory: 3.019GiB / 251.5GiB
sleepy_blackwell: CPU: 1547.37%, Memory: 3.022GiB / 251.5GiB
sleepy_blackwell: CPU: 1577.52%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1577.36%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1550.56%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1547.51%, Memory: 3.025GiB / 251.5GiB
sleepy_blackwell: CPU: 1554.64%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1556.53%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1536.02%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1579.21%, Memory: 3.024GiB / 251.5GiB
sleepy_blackwell: CPU: 1544.15%, Memory: 3.027GiB / 251.5GiB
sleepy_blackwell: CPU: 1551.34%, Memory: 3.026GiB / 251.5GiB
sleepy_blackwell: CPU: 1536.35%, Memory: 3.026GiB / 251.5GiB
sleepy_blackwell: CPU: 1583.95%, Memory: 3.025GiB / 251.5GiB
sleepy_blackwell: CPU: 1585.85%, Memory: 3.027GiB / 251.5GiB
sleepy_blackwell: CPU: 1555.24%, Memory: 3.028GiB / 251.5GiB
sleepy_blackwell: CPU: 1580.49%, Memory: 3.028GiB / 251.5GiB
sleepy_blackwell: CPU: 1589.01%, Memory: 3.027GiB / 251.5GiB
sleepy_blackwell: CPU: 1583.49%, Memory: 3.027GiB / 251.5GiB
sleepy_blackwell: CPU: 1567.77%, Memory: 3.028GiB / 251.5GiB
sleepy_blackwell: CPU: 1577.28%, Memory: 3.027GiB / 251.5GiB
sleepy_blackwell: CPU: 1580.23%, Memory: 3.029GiB / 251.5GiB
sleepy_blackwell: CPU: 1542.45%, Memory: 3.029GiB / 251.5GiB
sleepy_blackwell: CPU: 1583.89%, Memory: 3.029GiB / 251.5GiB
sleepy_blackwell: CPU: 1581.45%, Memory: 3.03GiB / 251.5GiB
sleepy_blackwell: CPU: 1581.97%, Memory: 3.03GiB / 251.5GiB
sleepy_blackwell: CPU: 1555.60%, Memory: 3.031GiB / 251.5GiB
sleepy_blackwell: CPU: 1584.79%, Memory: 3.032GiB / 251.5GiB
sleepy_blackwell: CPU: 1582.94%, Memory: 3.032GiB / 251.5GiB
sleepy_blackwell: CPU: 1557.40%, Memory: 3.033GiB / 251.5GiB
sleepy_blackwell: CPU: 1568.87%, Memory: 3.032GiB / 251.5GiB
sleepy_blackwell: CPU: 1565.61%, Memory: 3.035GiB / 251.5GiB
sleepy_blackwell: CPU: 1312.02%, Memory: 3.036GiB / 251.5GiB
sleepy_blackwell: CPU: 837.79%, Memory: 3.561GiB / 251.5GiB
sleepy_blackwell: CPU: 100.46%, Memory: 4.529GiB / 251.5GiB
sleepy_blackwell: CPU: 1361.56%, Memory: 5.055GiB / 251.5GiB
sleepy_blackwell: CPU: 1587.13%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1578.32%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1588.51%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1591.19%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1575.29%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1586.33%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1579.39%, Memory: 5.054GiB / 251.5GiB
sleepy_blackwell: CPU: 1579.87%, Memory: 3.084GiB / 251.5GiB
sleepy_blackwell: CPU: 1474.39%, Memory: 2.337GiB / 251.5GiB
sleepy_blackwell: CPU: 1587.57%, Memory: 2.337GiB / 251.5GiB
trusting_blackwell: CPU: 100.06%, Memory: 1.461GiB / 251.5GiB
trusting_blackwell: CPU: 1420.90%, Memory: 3.021GiB / 251.5GiB
trusting_blackwell: CPU: 1533.37%, Memory: 3.022GiB / 251.5GiB
trusting_blackwell: CPU: 1540.89%, Memory: 3.022GiB / 251.5GiB
trusting_blackwell: CPU: 1547.84%, Memory: 3.022GiB / 251.5GiB
trusting_blackwell: CPU: 1531.12%, Memory: 3.021GiB / 251.5GiB
trusting_blackwell: CPU: 1488.58%, Memory: 3.021GiB / 251.5GiB
trusting_blackwell: CPU: 1502.40%, Memory: 3.023GiB / 251.5GiB
trusting_blackwell: CPU: 1507.10%, Memory: 3.023GiB / 251.5GiB
trusting_blackwell: CPU: 1503.99%, Memory: 3.021GiB / 251.5GiB
trusting_blackwell: CPU: 1568.46%, Memory: 3.023GiB / 251.5GiB
trusting_blackwell: CPU: 1526.70%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1547.55%, Memory: 3.023GiB / 251.5GiB
trusting_blackwell: CPU: 1479.74%, Memory: 3.022GiB / 251.5GiB
trusting_blackwell: CPU: 1548.11%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1522.61%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1581.13%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1584.47%, Memory: 3.025GiB / 251.5GiB
trusting_blackwell: CPU: 1585.08%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1574.61%, Memory: 3.024GiB / 251.5GiB
trusting_blackwell: CPU: 1587.51%, Memory: 3.026GiB / 251.5GiB
trusting_blackwell: CPU: 1585.22%, Memory: 3.025GiB / 251.5GiB
trusting_blackwell: CPU: 1584.49%, Memory: 3.026GiB / 251.5GiB
trusting_blackwell: CPU: 1585.04%, Memory: 3.026GiB / 251.5GiB
trusting_blackwell: CPU: 1537.24%, Memory: 3.026GiB / 251.5GiB
trusting_blackwell: CPU: 1488.69%, Memory: 3.025GiB / 251.5GiB
trusting_blackwell: CPU: 1585.21%, Memory: 3.027GiB / 251.5GiB
trusting_blackwell: CPU: 1585.24%, Memory: 3.027GiB / 251.5GiB
trusting_blackwell: CPU: 1583.71%, Memory: 3.027GiB / 251.5GiB
trusting_blackwell: CPU: 1586.79%, Memory: 3.028GiB / 251.5GiB
trusting_blackwell: CPU: 1510.13%, Memory: 3.027GiB / 251.5GiB
trusting_blackwell: CPU: 1555.78%, Memory: 3.029GiB / 251.5GiB
trusting_blackwell: CPU: 1556.60%, Memory: 3.029GiB / 251.5GiB
trusting_blackwell: CPU: 1579.83%, Memory: 3.03GiB / 251.5GiB
trusting_blackwell: CPU: 1560.36%, Memory: 3.031GiB / 251.5GiB
trusting_blackwell: CPU: 1586.85%, Memory: 3.032GiB / 251.5GiB
trusting_blackwell: CPU: 1592.00%, Memory: 3.035GiB / 251.5GiB
trusting_blackwell: CPU: 738.84%, Memory: 3.562GiB / 251.5GiB
trusting_blackwell: CPU: 99.96%, Memory: 4.529GiB / 251.5GiB
trusting_blackwell: CPU: 1352.59%, Memory: 5.053GiB / 251.5GiB
trusting_blackwell: CPU: 1550.76%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1552.18%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1583.86%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1579.13%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1581.29%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1582.67%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1585.06%, Memory: 5.052GiB / 251.5GiB
trusting_blackwell: CPU: 1546.57%, Memory: 3.084GiB / 251.5GiB
trusting_blackwell: CPU: 1585.62%, Memory: 3.082GiB / 251.5GiB
trusting_blackwell: CPU: 1586.29%, Memory: 2.336GiB / 251.5GiB
trusting_blackwell: CPU: 675.89%, Memory: 3.909GiB / 251.5GiB
brave_pascal: CPU: 100.59%, Memory: 1.519GiB / 251.5GiB
brave_pascal: CPU: 1549.19%, Memory: 3.022GiB / 251.5GiB
brave_pascal: CPU: 1553.62%, Memory: 3.022GiB / 251.5GiB
brave_pascal: CPU: 1579.83%, Memory: 3.023GiB / 251.5GiB
brave_pascal: CPU: 1584.44%, Memory: 3.023GiB / 251.5GiB
brave_pascal: CPU: 1547.97%, Memory: 3.024GiB / 251.5GiB
brave_pascal: CPU: 1577.98%, Memory: 3.024GiB / 251.5GiB
brave_pascal: CPU: 1557.28%, Memory: 3.023GiB / 251.5GiB
brave_pascal: CPU: 1583.75%, Memory: 3.023GiB / 251.5GiB
brave_pascal: CPU: 1549.74%, Memory: 3.025GiB / 251.5GiB
brave_pascal: CPU: 1538.34%, Memory: 3.023GiB / 251.5GiB
brave_pascal: CPU: 1538.01%, Memory: 3.024GiB / 251.5GiB
brave_pascal: CPU: 1548.43%, Memory: 3.024GiB / 251.5GiB
brave_pascal: CPU: 1554.04%, Memory: 3.026GiB / 251.5GiB
brave_pascal: CPU: 1580.98%, Memory: 3.025GiB / 251.5GiB
brave_pascal: CPU: 1581.68%, Memory: 3.026GiB / 251.5GiB
brave_pascal: CPU: 1582.89%, Memory: 3.025GiB / 251.5GiB
brave_pascal: CPU: 1494.49%, Memory: 3.025GiB / 251.5GiB
brave_pascal: CPU: 1545.01%, Memory: 3.026GiB / 251.5GiB
brave_pascal: CPU: 1490.36%, Memory: 3.026GiB / 251.5GiB
brave_pascal: CPU: 1585.28%, Memory: 3.027GiB / 251.5GiB
brave_pascal: CPU: 1573.57%, Memory: 3.027GiB / 251.5GiB
brave_pascal: CPU: 1540.22%, Memory: 3.029GiB / 251.5GiB
brave_pascal: CPU: 1528.03%, Memory: 3.028GiB / 251.5GiB
brave_pascal: CPU: 1550.86%, Memory: 3.029GiB / 251.5GiB
brave_pascal: CPU: 1584.97%, Memory: 3.028GiB / 251.5GiB
brave_pascal: CPU: 1585.81%, Memory: 3.029GiB / 251.5GiB
brave_pascal: CPU: 1504.95%, Memory: 3.03GiB / 251.5GiB
brave_pascal: CPU: 1533.74%, Memory: 3.029GiB / 251.5GiB
brave_pascal: CPU: 1555.15%, Memory: 3.031GiB / 251.5GiB
brave_pascal: CPU: 1548.30%, Memory: 3.03GiB / 251.5GiB
brave_pascal: CPU: 1512.56%, Memory: 3.031GiB / 251.5GiB
brave_pascal: CPU: 1500.66%, Memory: 3.029GiB / 251.5GiB
brave_pascal: CPU: 1582.42%, Memory: 3.032GiB / 251.5GiB
brave_pascal: CPU: 1572.07%, Memory: 3.032GiB / 251.5GiB
brave_pascal: CPU: 1551.22%, Memory: 3.033GiB / 251.5GiB
brave_pascal: CPU: 1525.13%, Memory: 3.035GiB / 251.5GiB
brave_pascal: CPU: 1405.28%, Memory: 3.035GiB / 251.5GiB
brave_pascal: CPU: 820.52%, Memory: 3.564GiB / 251.5GiB
brave_pascal: CPU: 100.18%, Memory: 4.531GiB / 251.5GiB
brave_pascal: CPU: 1350.83%, Memory: 5.054GiB / 251.5GiB
brave_pascal: CPU: 1587.43%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1583.77%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1582.98%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1587.42%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1537.56%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1492.53%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1491.17%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1548.38%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1578.76%, Memory: 5.053GiB / 251.5GiB
brave_pascal: CPU: 1559.28%, Memory: 3.084GiB / 251.5GiB
brave_pascal: CPU: 1580.38%, Memory: 3.083GiB / 251.5GiB
brave_pascal: CPU: 1532.34%, Memory: 2.337GiB / 251.5GiB
brave_pascal: CPU: 784.50%, Memory: 3.869GiB / 251.5GiB
festive_dirac: CPU: 101.21%, Memory: 1.403GiB / 251.5GiB
festive_dirac: CPU: 1181.09%, Memory: 3.018GiB / 251.5GiB
festive_dirac: CPU: 1552.70%, Memory: 3.021GiB / 251.5GiB
festive_dirac: CPU: 1560.82%, Memory: 3.023GiB / 251.5GiB
festive_dirac: CPU: 1548.16%, Memory: 3.023GiB / 251.5GiB
festive_dirac: CPU: 1582.93%, Memory: 3.024GiB / 251.5GiB
festive_dirac: CPU: 1590.96%, Memory: 3.024GiB / 251.5GiB
festive_dirac: CPU: 1580.71%, Memory: 3.024GiB / 251.5GiB
festive_dirac: CPU: 1520.49%, Memory: 3.022GiB / 251.5GiB
festive_dirac: CPU: 1517.96%, Memory: 3.024GiB / 251.5GiB
festive_dirac: CPU: 1546.06%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1565.27%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1582.96%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1513.32%, Memory: 3.024GiB / 251.5GiB
festive_dirac: CPU: 1510.37%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1489.70%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1560.45%, Memory: 3.026GiB / 251.5GiB
festive_dirac: CPU: 1521.32%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1583.98%, Memory: 3.026GiB / 251.5GiB
festive_dirac: CPU: 1505.41%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1481.29%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1529.12%, Memory: 3.025GiB / 251.5GiB
festive_dirac: CPU: 1585.07%, Memory: 3.026GiB / 251.5GiB
