keen_agnesi: CPU: 212.75%, Memory: 1.045GiB / 251.5GiB
keen_agnesi: CPU: 100.89%, Memory: 3.349GiB / 251.5GiB
keen_agnesi: CPU: 98.97%, Memory: 5.997GiB / 251.5GiB
keen_agnesi: CPU: 101.86%, Memory: 3.211GiB / 251.5GiB
keen_agnesi: CPU: 100.22%, Memory: 9.867GiB / 251.5GiB
keen_agnesi: CPU: 1413.51%, Memory: 11.98GiB / 251.5GiB
keen_agnesi: CPU: 1541.61%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1540.99%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1505.12%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1557.10%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1504.34%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.65%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.48%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1520.84%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1492.38%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1510.79%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1503.03%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1515.21%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1519.17%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.16%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1513.76%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1497.01%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.06%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1521.73%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1504.69%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1504.76%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1547.22%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.19%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.94%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1491.61%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1545.39%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1497.44%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1517.51%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1523.57%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1521.17%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1544.09%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1560.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.48%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1498.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1498.05%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1493.27%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1496.80%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1546.40%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1496.64%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1545.93%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1547.15%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1493.37%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.21%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.64%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1508.88%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.56%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1543.35%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1497.36%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1492.85%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1503.81%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1539.25%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1527.78%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1498.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1509.16%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1489.13%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1546.65%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1554.30%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.66%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1498.38%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.33%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1481.35%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1502.57%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1490.88%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1549.37%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1506.11%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1541.79%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1495.15%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1492.18%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1525.81%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1504.26%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1535.67%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1491.26%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1492.62%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.62%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1547.71%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1494.48%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1534.18%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1512.84%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1492.62%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1495.19%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1486.64%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1549.25%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1520.13%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1512.86%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1526.31%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1506.69%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1549.61%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.30%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1531.43%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1498.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1537.45%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.60%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1506.86%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1550.54%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1517.57%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1536.50%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1520.51%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1502.03%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1517.10%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1490.18%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1534.55%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.14%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.80%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1489.13%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.10%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1529.93%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1512.24%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1499.29%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1532.51%, Memory: 11.99GiB / 251.5GiB
keen_agnesi: CPU: 1500.79%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 258.58%, Memory: 919.1MiB / 251.5GiB
lucid_poitras: CPU: 101.40%, Memory: 3.67GiB / 251.5GiB
lucid_poitras: CPU: 100.94%, Memory: 3.252GiB / 251.5GiB
lucid_poitras: CPU: 100.37%, Memory: 3.5GiB / 251.5GiB
lucid_poitras: CPU: 100.73%, Memory: 10.57GiB / 251.5GiB
lucid_poitras: CPU: 1556.50%, Memory: 11.98GiB / 251.5GiB
lucid_poitras: CPU: 1582.69%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1538.40%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1565.08%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1498.86%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1576.92%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.51%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1486.30%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1502.33%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1481.27%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1515.27%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1516.06%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1532.75%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1533.11%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1583.58%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1585.35%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1592.35%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1550.31%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1549.59%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1584.57%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1562.09%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1500.95%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1545.94%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1547.53%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1529.24%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1524.61%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1543.49%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1584.22%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1555.60%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1528.82%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1544.39%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1479.47%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1504.56%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1593.27%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1586.64%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1510.52%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1502.79%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1557.14%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.82%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.20%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1503.90%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1521.54%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1514.79%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1514.71%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1545.18%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1507.91%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1522.64%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.89%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.73%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1496.87%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1496.45%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1491.49%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1509.13%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1532.17%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1511.30%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.33%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1489.09%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1527.29%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1494.02%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1512.66%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1547.93%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1547.60%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1492.77%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.74%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1508.63%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1504.45%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.78%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1518.33%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1512.17%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1516.47%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1494.04%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.23%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1534.82%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.31%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1581.75%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1533.85%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1524.17%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1583.20%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1586.45%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1496.38%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1489.06%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1525.16%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.61%, Memory: 11.99GiB / 251.5GiB
