elated_sammet: CPU: 352.06%, Memory: 795.3MiB / 251.5GiB
elated_sammet: CPU: 1544.63%, Memory: 797.5MiB / 251.5GiB
elated_sammet: CPU: 1548.61%, Memory: 799.7MiB / 251.5GiB
elated_sammet: CPU: 1527.88%, Memory: 800.9MiB / 251.5GiB
elated_sammet: CPU: 1525.03%, Memory: 801.7MiB / 251.5GiB
elated_sammet: CPU: 1491.82%, Memory: 801.2MiB / 251.5GiB
elated_sammet: CPU: 1528.44%, Memory: 804.7MiB / 251.5GiB
elated_sammet: CPU: 1014.79%, Memory: 1.299GiB / 251.5GiB
elated_sammet: CPU: 1547.22%, Memory: 1.297GiB / 251.5GiB
vigilant_kare: CPU: 596.08%, Memory: 797.2MiB / 251.5GiB
vigilant_kare: CPU: 1541.21%, Memory: 798.2MiB / 251.5GiB
vigilant_kare: CPU: 1570.66%, Memory: 800MiB / 251.5GiB
vigilant_kare: CPU: 1570.85%, Memory: 801.5MiB / 251.5GiB
vigilant_kare: CPU: 1548.80%, Memory: 802.4MiB / 251.5GiB
vigilant_kare: CPU: 1400.58%, Memory: 939.1MiB / 251.5GiB
vigilant_kare: CPU: 1585.18%, Memory: 1.297GiB / 251.5GiB
infallible_aryabhata: CPU: 560.41%, Memory: 795MiB / 251.5GiB
infallible_aryabhata: CPU: 1576.51%, Memory: 797.8MiB / 251.5GiB
infallible_aryabhata: CPU: 1555.02%, Memory: 798.6MiB / 251.5GiB
infallible_aryabhata: CPU: 1557.99%, Memory: 800MiB / 251.5GiB
infallible_aryabhata: CPU: 1559.72%, Memory: 801.6MiB / 251.5GiB
infallible_aryabhata: CPU: 1360.71%, Memory: 942.6MiB / 251.5GiB
infallible_aryabhata: CPU: 1581.42%, Memory: 1.298GiB / 251.5GiB
infallible_jones: CPU: 966.46%, Memory: 796.9MiB / 251.5GiB
infallible_jones: CPU: 1583.76%, Memory: 798.8MiB / 251.5GiB
infallible_jones: CPU: 1562.87%, Memory: 799.8MiB / 251.5GiB
infallible_jones: CPU: 1580.34%, Memory: 801.3MiB / 251.5GiB
infallible_jones: CPU: 1481.63%, Memory: 800.2MiB / 251.5GiB
infallible_jones: CPU: 1513.43%, Memory: 838.7MiB / 251.5GiB
infallible_jones: CPU: 1565.47%, Memory: 1.297GiB / 251.5GiB
loving_chatelet: CPU: 1439.88%, Memory: 797.8MiB / 251.5GiB
loving_chatelet: CPU: 1575.79%, Memory: 799.4MiB / 251.5GiB
loving_chatelet: CPU: 1563.07%, Memory: 800.1MiB / 251.5GiB
loving_chatelet: CPU: 1554.54%, Memory: 801.2MiB / 251.5GiB
loving_chatelet: CPU: 1555.11%, Memory: 802.5MiB / 251.5GiB
loving_chatelet: CPU: 1273.23%, Memory: 1.161GiB / 251.5GiB
loving_chatelet: CPU: 1582.72%, Memory: 1.297GiB / 251.5GiB
busy_pike: CPU: 889.48%, Memory: 797MiB / 251.5GiB
busy_pike: CPU: 1551.56%, Memory: 798.5MiB / 251.5GiB
busy_pike: CPU: 1579.53%, Memory: 799.7MiB / 251.5GiB
busy_pike: CPU: 1554.32%, Memory: 800MiB / 251.5GiB
busy_pike: CPU: 1550.84%, Memory: 802.5MiB / 251.5GiB
busy_pike: CPU: 961.15%, Memory: 1.299GiB / 251.5GiB
busy_pike: CPU: 1518.15%, Memory: 1.298GiB / 251.5GiB
mystifying_ramanujan: CPU: 569.31%, Memory: 796.7MiB / 251.5GiB
mystifying_ramanujan: CPU: 1568.50%, Memory: 797.9MiB / 251.5GiB
mystifying_ramanujan: CPU: 1560.11%, Memory: 800.2MiB / 251.5GiB
mystifying_ramanujan: CPU: 1555.32%, Memory: 801.1MiB / 251.5GiB
mystifying_ramanujan: CPU: 1540.07%, Memory: 802.4MiB / 251.5GiB
mystifying_ramanujan: CPU: 1134.74%, Memory: 1.161GiB / 251.5GiB
mystifying_ramanujan: CPU: 1584.00%, Memory: 1.297GiB / 251.5GiB
cool_jemison: CPU: 954.92%, Memory: 796.9MiB / 251.5GiB
cool_jemison: CPU: 1554.71%, Memory: 798.7MiB / 251.5GiB
cool_jemison: CPU: 1494.59%, Memory: 798.8MiB / 251.5GiB
cool_jemison: CPU: 1562.57%, Memory: 800.6MiB / 251.5GiB
cool_jemison: CPU: 1583.84%, Memory: 802.4MiB / 251.5GiB
cool_jemison: CPU: 1111.92%, Memory: 1.16GiB / 251.5GiB
cool_jemison: CPU: 1498.77%, Memory: 1.297GiB / 251.5GiB
cool_jemison: CPU: 1496.78%, Memory: 1.297GiB / 251.5GiB
cool_jemison: CPU: 1492.60%, Memory: 1.297GiB / 251.5GiB
